description="Default level pack"
levelfile(BabySteps.map,BabySteps)
levelfile(ShadowBlocks.map,ShadowBlocks)
levelfile(LittleHelp.map,LittleHelp)
levelfile(FirstSpikes.map,FirstSpikes)
levelfile(SomeSpikes.map,SomeSpikes)
levelfile(Tricky.map,Tricky)
levelfile(Jumper.map,Jumper)
levelfile(FreeFall.map,FreeFall)
levelfile(Control.map,Control)
levelfile(Tower.map,Tower)
levelfile(Jumping.map,Jumping)
levelfile(UpDown.map,UpDown)
levelfile(Spiky.map,Spiky)
levelfile(Headache.map,Headache)
levelfile(FreeFall2.map,FreeFall2)
levelfile(Timing.map,Timing)
levelfile(Carry.map,Carry)
levelfile(Road.map,Road)
levelfile(Lab.map,Lab)
levelfile(LeftRight.map,LeftRight)
levelfile(Shadow.map,Shadow)
levelfile(Here.map,Here)
levelfile(End.map,End)
levelfile(Credits.map,Credits)
